ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-09-07,25696.19594781728,64226.25000000001,23193.208425283538,31649.179761098083,25696.19594781728,25696.19594781728,1784.983637289671,1784.983637289671,1784.983637289671,1784.983637289671,1784.983637289671,1784.983637289671,0.0,0.0,0.0,27481.17958510695
2015-09-14,25704.004763883215,64226.25000000001,23036.461522693156,31528.119271392527,25704.004763883215,25704.004763883215,1742.0670298197017,1742.0670298197017,1742.0670298197017,1742.0670298197017,1742.0670298197017,1742.0670298197017,0.0,0.0,0.0,27446.071793702915
2015-09-21,25711.814369409487,64226.25000000001,22538.460397132032,31360.91770127221,25711.814369409487,25711.814369409487,1274.0186083034982,1274.0186083034982,1274.0186083034982,1274.0186083034982,1274.0186083034982,1274.0186083034982,0.0,0.0,0.0,26985.832977712984
2015-09-28,25719.624763513813,64226.25000000001,21983.46501232715,31362.76713393289,25719.624763513813,25719.624763513813,772.2911355235684,772.2911355235684,772.2911355235684,772.2911355235684,772.2911355235684,772.2911355235684,0.0,0.0,0.0,26491.915899037383
2015-10-05,25727.4359453135,64226.25000000001,21756.64891153084,30616.964930846294,25727.4359453135,25727.4359453135,418.74814279113593,418.74814279113593,418.74814279113593,418.74814279113593,418.74814279113593,418.74814279113593,0.0,0.0,0.0,26146.184088104637
2015-10-12,25735.247913925494,64226.25000000001,21799.359145210587,30289.256577939577,25735.247913925494,25735.247913925494,45.57792801724131,45.57792801724131,45.57792801724131,45.57792801724131,45.57792801724131,45.57792801724131,0.0,0.0,0.0,25780.825841942737
2015-10-19,25743.06066846634,64226.25000000001,20755.536931598144,29390.64955712876,25743.06066846634,25743.06066846634,-567.4168826593115,-567.4168826593115,-567.4168826593115,-567.4168826593115,-567.4168826593115,-567.4168826593115,0.0,0.0,0.0,25175.643785807028
2015-10-26,25750.874208052228,64226.25000000001,20108.569765992826,28738.512762876464,25750.874208052228,25750.874208052228,-1349.322823753599,-1349.322823753599,-1349.322823753599,-1349.322823753599,-1349.322823753599,-1349.322823753599,0.0,0.0,0.0,24401.55138429863
2015-11-02,25758.688531798947,64226.25000000001,19402.43478343295,28286.165653327454,25758.688531798947,25758.688531798947,-1973.5412273611125,-1973.5412273611125,-1973.5412273611125,-1973.5412273611125,-1973.5412273611125,-1973.5412273611125,0.0,0.0,0.0,23785.147304437836
2015-11-09,25766.503638821934,64226.25000000001,19571.179575569393,27914.214144878722,25766.503638821934,25766.503638821934,-2216.5673930477187,-2216.5673930477187,-2216.5673930477187,-2216.5673930477187,-2216.5673930477187,-2216.5673930477187,0.0,0.0,0.0,23549.936245774217
